"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"INS",1.69085382635972e-98,0.484894251309006,0.976,0.996,4.32976939315935e-94
"REG1A",9.38962971899758e-40,0.391692210301905,0.808,0.704,2.40440248214371e-35
"TIMP1",7.18639434105281e-27,0.276998631432405,0.627,0.495,1.84021999891339e-22
"TTR",2.01588370297751e-21,0.542032577699652,0.981,0.985,5.16207339821452e-17
"MT-ND3",2.67789524354486e-18,0.481471305258441,0.524,0.732,6.85728635014531e-14
"RPS8",1.49748558840506e-17,0.663799526237818,0.693,0.67,3.83461134622883e-13
"RPL28",9.38212159119992e-16,0.451490593053616,0.768,0.737,2.40247987585856e-11
"IAPP",9.02691710314046e-15,0.948415769203525,0.915,0.845,2.31152266260118e-10
"CFL1",1.23868498269656e-14,0.281174449913004,0.232,0.15,3.17190063519107e-10
"MT-ND1",6.63297728163875e-12,0.384745746748579,0.432,0.464,1.69850649250924e-07
"POLR2L",1.56780436996815e-11,0.291899655793426,0.287,0.222,4.01467665017745e-07
"RBP4",1.83731688723228e-11,0.566964822277955,0.478,0.433,4.70481735313571e-07
"MALAT1",1.90961082375603e-11,0.361014250112553,0.895,0.944,4.88994043639206e-07
"SCG5",1.50864041005356e-10,0.338787992409075,0.664,0.737,3.86317549802415e-06
"RPL34",2.80364219511053e-09,0.310489499703736,0.828,0.865,7.17928656901953e-05
"GAPDH",2.2296365326159e-08,0.507668496084497,0.741,0.75,0.000570943026906953
"GABARAP",4.22148311984247e-08,0.430820863418984,0.362,0.329,0.00108099518249806
"RPS7",6.9501606382339e-08,0.265735113887698,0.657,0.712,0.00177972763463256
"EIF1",2.15926663859959e-07,0.284526011911535,0.605,0.693,0.00552923408146197
"PCSK1N",2.24301086038221e-07,0.560214009273645,0.655,0.658,0.00574367791018073
"CD81",4.47477067434046e-07,0.302894383150813,0.223,0.171,0.0114585452657836
"RPS21",7.45602315996734e-07,0.282635543682222,0.501,0.539,0.0190926385057284
"RPL30",1.39012915137295e-06,0.26968607716721,0.769,0.847,0.0355970371792072
"COX8A",1.74211829424452e-06,0.312491922400382,0.379,0.329,0.0446104231607195
"RPL6",2.84134841520438e-06,0.368438130461939,0.735,0.729,0.0727584088681387
"ACTB",3.41256289049684e-06,0.321498693872229,0.474,0.443,0.0873854979369527
"RPL3",4.58500229156754e-06,0.360862650021048,0.858,0.929,0.11740815368017
"MT-ND2",5.07209932785434e-06,0.328586267788687,0.581,0.556,0.129881247488366
"RPSA",1.44286804897416e-05,0.389016864465375,0.479,0.424,0.369475221300812
"RPS2",2.17095053096555e-05,0.445006757266118,0.807,0.828,0.555915302464349
"H3F3A",2.21178339582222e-05,0.385116192742845,0.549,0.538,0.566371374168196
"HMGB1",2.9497203797935e-05,0.258705299630358,0.364,0.299,0.75533489765372
"SERF2",3.0350471062135e-05,0.434042313980861,0.613,0.593,0.77718451248809
"C4orf48",3.71630756519594e-05,0.251151081750014,0.306,0.251,0.951634878219725
"HSP90AA1",3.84352630583109e-05,0.67137437649731,0.748,0.687,0.984211781134168
"ELOB",4.14544769864844e-05,0.254180515656331,0.362,0.319,1
"MT-ND4",4.26952056419837e-05,0.588166829715712,0.703,0.709,1
"MT-CYB",5.02062180677427e-05,0.780148553994495,0.649,0.654,1
"RPL37",6.92642909079995e-05,0.319451734911643,0.705,0.701,1
"RPL12",7.0982364892949e-05,0.460443088381426,0.613,0.641,1
"NDUFC2",7.4306306527309e-05,0.251489149644556,0.268,0.229,1
"HSPA5",0.000100812690870038,0.704513035214425,0.283,0.217,1
"CLU",0.000194500242732515,0.487507192811132,0.443,0.43,1
"RPL10",0.000195446075745977,0.435061014562447,0.726,0.732,1
"RACK1",0.000243144202469353,0.332302597913807,0.45,0.443,1
"CCNI",0.000257670996264227,0.258021584568761,0.184,0.151,1
"RPS6",0.0002834041318897,0.399118146013793,0.714,0.718,1
"DSTN",0.000287144618281593,0.29070108831769,0.432,0.392,1
"CRYBA2",0.000288290223077946,0.417579101246183,0.735,0.713,1
"KRTCAP2",0.000306046296007551,0.278524528661342,0.275,0.241,1
"TPT1",0.000460284888354729,0.399167911433299,0.883,0.892,1
"ATP5F1E",0.000540480081446397,0.350712712103349,0.768,0.784,1
"RPL13",0.000909998598206356,0.445094010032269,0.875,0.895,1
"UQCRQ",0.00113013769891998,0.270459322163349,0.273,0.233,1
"RPS5",0.00122436988055628,0.374220840500666,0.48,0.481,1
"SCG2",0.00122950540470775,0.380508290343674,0.497,0.447,1
"RPS28",0.00144661474726628,0.315794430897425,0.815,0.847,1
"RPL37A",0.00147338686429466,0.344212730276763,0.84,0.864,1
"RPL18",0.00156992612222713,0.309951152753573,0.623,0.664,1
"CPE",0.00182119973375478,0.458714661485331,0.552,0.574,1
"RPLP0",0.00183204342469104,0.348782304216407,0.634,0.624,1
"EEF1A1",0.00333063469681815,0.49130492445293,0.854,0.866,1
"RPL11",0.00383909515999956,0.369087495671399,0.766,0.834,1
"RPS24",0.0038910245020961,0.30768812694566,0.808,0.858,1
"IER3",0.00402912029202681,0.351214023816902,0.212,0.168,1
"RPL17",0.00436230400019484,0.337634113316329,0.762,0.832,1
"COX7C",0.00557399899835772,0.290628221401031,0.525,0.545,1
"TUBA1A",0.00710872906764873,0.251948684037929,0.431,0.481,1
"CHGA",0.00789964600387287,0.288094648063241,0.491,0.488,1
"RPS4X",0.009216288148877,0.349238058495135,0.753,0.798,1
"SEC11C",0.00941617667534469,0.402683070684514,0.48,0.487,1
"RPS25",0.0107326111371853,0.389952480337648,0.694,0.693,1
"RPS27",0.0115315770292036,0.391803479715227,0.745,0.782,1
"RPL39",0.0116185795834662,0.287027483965791,0.653,0.668,1
"RPS11",0.0119029005542545,0.261433476849612,0.796,0.809,1
"RPL18A",0.0122844829543358,0.366375564599529,0.613,0.623,1
"RPL19",0.0137721033642739,0.4326453905654,0.732,0.779,1
"MT-CO1",0.0139566562929095,0.6676162568432,0.764,0.717,1
"RPL35A",0.0143619061253416,0.275922268451762,0.63,0.706,1
"HSP90B1",0.0170059311865332,0.656043573049727,0.247,0.202,1
"SSR4",0.0180229338811459,0.405269264221234,0.641,0.629,1
"ITM2B",0.0205318082690452,0.265619174542673,0.362,0.345,1
"B2M",0.0244655677441943,0.311255939854639,0.857,0.878,1
"HSPA8",0.0264351499691233,0.264144937171355,0.294,0.305,1
"TM4SF4",0.0287662758364627,0.255624784919371,0.314,0.337,1
"FTL",0.0297069301074303,0.7120230650144,0.95,0.965,1
"PEBP1",0.0341140638862145,0.26497573708258,0.333,0.35,1
"TUBA1B",0.0370946417841814,0.340112600907069,0.279,0.273,1
"RPL9",0.038144169063643,0.299187043412275,0.737,0.777,1
"UBA52",0.0405673894740217,0.257748126558802,0.621,0.654,1
"RPL5",0.0438958395934492,0.29690296164381,0.699,0.768,1
"RPS26",0.0474171863957784,0.306660786072947,0.731,0.715,1
"RPS16",0.0538793346022414,0.334011353974413,0.629,0.625,1
"GNAS",0.054454109958711,0.520426837606569,0.94,0.966,1
"RPL21",0.0564402807333406,0.374583511451125,0.896,0.906,1
"CD63",0.0606456943021863,0.451453489775483,0.668,0.699,1
"RPL26",0.0607516201848892,0.296695083235571,0.796,0.856,1
"RPLP1",0.0613004017096349,0.368180173558957,0.921,0.948,1
"RPS27A",0.0629038389340791,0.311282390783123,0.864,0.899,1
"SCGN",0.0664672990368401,0.349526858728425,0.331,0.339,1
"CD99",0.080756064538378,0.352873034714958,0.374,0.363,1
"RPS15",0.0820077985042544,0.398448743934759,0.775,0.784,1
"RPS9",0.098949384619369,0.300301221666544,0.731,0.765,1
"RPL13A",0.11247012151139,0.306740540439216,0.887,0.881,1
"HLA-B",0.155206768329933,0.270626860372046,0.167,0.149,1
"RPL15",0.159111229659825,0.323275546363251,0.761,0.807,1
"RPLP2",0.169623305939672,0.371241328439839,0.713,0.683,1
"RNASEK",0.186058884811491,0.339793385163688,0.479,0.475,1
"RPS3",0.197567993995189,0.44910316366772,0.729,0.761,1
"OAZ1",0.242945811915016,0.27134695191916,0.408,0.409,1
"SST",0.246286587367123,1.0349069332264,0.954,0.988,1
"RPL32",0.24712565317172,0.344700329158288,0.772,0.798,1
"RPL23A",0.249298100048232,0.288946853013207,0.74,0.778,1
"ATP6V0B",0.299612870062424,0.307425859072683,0.312,0.293,1
"RPS3A",0.300480337733134,0.273122902138652,0.808,0.852,1
"MT-CO2",0.304633089916819,0.782656592902771,0.697,0.671,1
"FTH1",0.313125235492024,0.680812152386737,0.937,0.935,1
"HSPE1",0.325672898519162,0.262308539569617,0.351,0.331,1
"MT-CO3",0.328735359579733,0.545968335266703,0.659,0.648,1
"RPL14",0.333063762985342,0.258385913520794,0.632,0.661,1
"RPL36",0.340152062896959,0.362246145193756,0.716,0.733,1
"CHGB",0.34321635651989,0.42051982203429,0.886,0.897,1
"EEF1G",0.349594894594771,0.257170079472922,0.366,0.387,1
"SCG3",0.358168444950882,0.287345302199796,0.331,0.32,1
"MT-ATP6",0.399688004686399,0.620238156888625,0.757,0.713,1
"RPL8",0.44305073390783,0.404086426676634,0.746,0.769,1
"RPS15A",0.495452628316878,0.350043336985745,0.633,0.675,1
"PPY",0.532384280827428,0.652005194069542,0.791,0.854,1
"HSP90AB1",0.535209608875736,0.445103606325058,0.608,0.588,1
"RPS18",0.55075985743229,0.336659653817148,0.871,0.888,1
"DLK1",0.578779141667638,0.271337013379473,0.121,0.117,1
"RPL7A",0.581177281655863,0.379548656845267,0.824,0.855,1
"RPL35",0.617224841167993,0.341782101635097,0.582,0.576,1
"RPL41",0.625025624738678,0.499415297691755,0.913,0.928,1
"CALM1",0.689926758929824,0.482059752767945,0.578,0.559,1
"RPS12",0.689946679795905,0.448551896560967,0.838,0.875,1
"BEX1",0.709651303729538,0.264111936187615,0.353,0.362,1
"NDUFB2",0.724659169573392,0.274286092136355,0.389,0.37,1
"CHCHD2",0.778436675072685,0.266492271836772,0.37,0.379,1
"RPS14",0.782405941178597,0.346987966638691,0.788,0.825,1
"RPS19",0.783830635600138,0.37780154896671,0.638,0.665,1
"HLA-A",0.813974216765185,0.388771311080837,0.39,0.387,1
"MYL6",0.874210886122206,0.37062885596018,0.675,0.687,1
"RPS13",0.905916333179507,0.310121137869916,0.71,0.749,1
"RPS23",0.929299740680014,0.360441248740995,0.866,0.906,1
"RPL29",0.931986589731654,0.334593493052648,0.532,0.561,1
"COX7A2",0.959453119033678,0.278131036874244,0.46,0.433,1
"FAU",0.988678172310519,0.378966225358919,0.634,0.653,1
